subject,slice_index,slice_position,slice_fraction,dice,iou,precision,recall,hausdorff,mask_area,pred_area,box_area,x_min,y_min,x_max,y_max
sub-112,3,0,0.0,0.7219512195121951,0.5648854961832062,0.5670498084291188,0.9932885906040269,4.123105625617661,149.0,261.0,567.0,72,69,99,90
sub-112,4,1,0.017241379310344827,0.7680473372781065,0.6234390009606148,0.6264478764478765,0.9923547400611621,7.211102550927978,654.0,1036.0,1763.0,61,50,102,93
sub-112,5,2,0.034482758620689655,0.7827282728272827,0.6430185268865793,0.644766651563208,0.9958012596221134,12.0,1429.0,2207.0,3450.0,55,46,124,96
sub-112,6,3,0.05172413793103448,0.8328205128205128,0.7135325131810193,0.7193479801559178,0.9887968826108134,12.165525060596439,2053.0,2822.0,4125.0,51,43,126,98
sub-112,7,4,0.06896551724137931,0.9263657957244655,0.8628318584070797,0.8693415637860082,0.9913961673836528,7.0710678118654755,2557.0,2916.0,4779.0,47,41,128,100
sub-112,8,5,0.08620689655172414,0.9415278214397989,0.8895158895158896,0.899669570441574,0.9874711506758984,5.656854249492381,3033.0,3329.0,5544.0,42,39,130,102
sub-112,9,6,0.10344827586206896,0.9510294936004452,0.906631299734748,0.9232847109670448,0.9804934021801491,5.656854249492381,3486.0,3702.0,6204.0,37,37,131,103
sub-112,10,7,0.1206896551724138,0.9668807454980481,0.9358849341784495,0.9592703648175912,0.9746128458999747,5.0,3939.0,4002.0,6930.0,33,35,132,105
sub-112,11,8,0.13793103448275862,0.9763888888888889,0.9538670284938942,0.9766149571660107,0.976162925248785,4.242640687119285,4321.0,4319.0,7416.0,30,34,133,106
sub-112,12,9,0.15517241379310345,0.9826275787187839,0.9658484525080042,0.9966960352422908,0.9689507494646681,2.23606797749979,4670.0,4540.0,7770.0,28,33,133,107
sub-112,13,10,0.1724137931034483,0.9865043125317098,0.97336804164998,0.9977422003284072,0.9755167569737107,2.0,4983.0,4872.0,8208.0,26,32,134,108
sub-112,14,11,0.1896551724137931,0.9815191098209967,0.963708911267338,0.994899960768929,0.9684934122589268,3.1622776601683795,5237.0,5098.0,8393.0,25,31,134,108
sub-112,15,12,0.20689655172413793,0.9877408056042032,0.9757785467128027,0.998509131569139,0.9772022615356557,2.0,5483.0,5366.0,8769.0,24,30,135,109
sub-112,16,13,0.22413793103448276,0.987006051975792,0.9743454577402917,0.9998196898665705,0.9745166959578208,2.0,5690.0,5546.0,9072.0,23,29,135,110
sub-112,17,14,0.2413793103448276,0.9874755048138366,0.9752608549309997,0.9975899466345326,0.9775641025641025,1.4142135623730951,5928.0,5809.0,9877.0,16,28,135,111
sub-112,18,15,0.25862068965517243,0.9856780423929945,0.9717605292883653,0.999170399867264,0.9725452196382429,2.0,6192.0,6027.0,10292.0,11,28,135,111
sub-112,19,16,0.27586206896551724,0.9869141089697835,0.9741662752465946,0.9969556160871655,0.977072864321608,2.0,6368.0,6241.0,10668.0,9,27,136,111
sub-112,20,17,0.29310344827586204,0.9846966519070923,0.9698546289211936,0.9985820072475186,0.9711921544590867,2.23606797749979,6526.0,6347.0,10965.0,7,27,136,112
sub-112,21,18,0.3103448275862069,0.9864905889496054,0.9733413209525236,0.998463665693655,0.9748012599370032,2.0,6667.0,6509.0,11266.0,5,26,136,112
sub-112,22,19,0.3275862068965517,0.9826165143114042,0.9658270732066578,0.9984772346581392,0.9672518070511875,2.23606797749979,6779.0,6567.0,11352.0,4,26,136,112
sub-112,23,20,0.3448275862068966,0.9830809013668268,0.9667247893054345,0.997750449910018,0.9688364642493082,2.0,6867.0,6668.0,11524.0,2,26,136,112
sub-112,24,21,0.3620689655172414,0.9765665172996401,0.9542061441286247,0.9961037014835906,0.9577809798270893,17.4928556845359,6940.0,6673.0,11745.0,1,25,136,112
sub-112,25,22,0.3793103448275862,0.9720187518312335,0.9455607809605244,0.9940074906367041,0.9509817973340977,16.97056274847714,6977.0,6675.0,11832.0,0,25,136,112
sub-112,26,23,0.39655172413793105,0.9830263633080535,0.9666193181818182,0.9956108266276518,0.9707560627674751,18.35755975068582,7010.0,6835.0,11919.0,0,25,137,112
sub-112,27,24,0.41379310344827586,0.9809523809523809,0.9626168224299065,0.9958980369176678,0.9664486778504408,16.97056274847714,7034.0,6826.0,11919.0,0,25,137,112
sub-112,28,25,0.43103448275862066,0.983599482088908,0.9677282377919321,0.9985395063531474,0.9690999291282778,12.041594578792296,7055.0,6847.0,12144.0,0,25,138,113
sub-112,29,26,0.4482758620689655,0.9681993983669961,0.9383590170762183,0.980702263493906,0.956011315417256,16.278820596099706,7070.0,6892.0,12232.0,0,25,139,113
sub-112,30,27,0.46551724137931033,0.9495277033695192,0.9039055160381156,0.9448653198653199,0.95423632757155,17.69180601295413,7058.0,7128.0,12320.0,0,25,140,113
sub-112,31,28,0.4827586206896552,0.9533824044865055,0.9109176155391828,0.9418282548476454,0.9652235628105039,13.601470508735444,7045.0,7220.0,12180.0,0,25,140,112
sub-112,32,29,0.5,0.9583481666073336,0.9200273410799726,0.9567813477395507,0.9599201255170446,14.0,7011.0,7034.0,12180.0,1,25,141,112
sub-112,33,30,0.5172413793103449,0.9738713891711424,0.9490734191540529,0.9847350653163071,0.9632447954055994,11.0,6965.0,6813.0,12093.0,2,25,141,112
sub-112,34,31,0.5344827586206896,0.9646852379907874,0.9317796610169492,0.9737269372693726,0.955809910170965,14.866068747318506,6902.0,6775.0,12006.0,3,25,141,112
sub-112,35,32,0.5517241379310345,0.947569674240753,0.9003633314700951,0.9440293040293041,0.9511366991437851,15.556349186104045,6774.0,6825.0,11868.0,4,26,142,112
sub-112,36,33,0.5689655172413793,0.9240067811601681,0.8587477736676257,0.9090645395213923,0.9394484412470024,16.64331697709324,6672.0,6895.0,11730.0,5,26,143,111
sub-112,37,34,0.5862068965517241,0.9087292817679558,0.8327257999189955,0.8741496598639455,0.9461573861021629,19.1049731745428,6519.0,7056.0,11730.0,6,26,144,111
sub-112,38,35,0.603448275862069,0.8934438583270535,0.8074094252247344,0.8536866359447005,0.9370850458425546,23.08679276123039,6326.0,6944.0,11560.0,8,26,144,111
sub-112,39,36,0.6206896551724138,0.9272900460390539,0.8644368802723102,0.9089635854341737,0.9463707064160726,22.561028345356956,6172.0,6426.0,11340.0,9,27,144,111
sub-112,40,37,0.6379310344827587,0.9224322103533279,0.8560317218240049,0.9078117418728773,0.9375313178553533,16.278820596099706,5987.0,6183.0,11256.0,10,27,144,111
sub-112,41,38,0.6551724137931034,0.9257913855734302,0.8618357487922705,0.9309445120890589,0.9206949939790126,19.79898987322333,5813.0,5749.0,11172.0,11,27,144,111
sub-112,42,39,0.6724137931034483,0.9199156040730209,0.8517071513504332,0.9474678760393046,0.893920484934926,21.93171219946131,5609.0,5292.0,11004.0,13,27,144,111
sub-112,43,40,0.6896551724137931,0.9364241001564946,0.8804487768990252,0.9864001648464867,0.8912679203127909,19.1049731745428,5371.0,4853.0,10752.0,16,27,144,111
sub-112,44,41,0.7068965517241379,0.9338028169014084,0.8758256274768824,0.9626633478531424,0.9066223871849971,15.297058540778355,5119.0,4821.0,10458.0,18,27,144,110
sub-112,45,42,0.7241379310344828,0.9359426799272805,0.8795979899497487,0.9664310954063604,0.9073190959983413,7.211102550927978,4823.0,4528.0,9676.0,26,28,144,110
sub-112,46,43,0.7413793103448276,0.9394678492239468,0.8858457035333472,0.9568654019873533,0.922691637630662,5.0990195135927845,4592.0,4428.0,9315.0,29,28,144,109
sub-112,47,44,0.7586206896551724,0.9193742478941035,0.8507795100222717,0.9538077403245943,0.8873403019744484,5.830951894845301,4305.0,4005.0,8927.0,31,29,144,108
sub-112,48,45,0.7758620689655172,0.9097265576226745,0.8344021988089785,0.910977744436109,0.9084788029925187,11.180339887498949,4010.0,3999.0,8658.0,33,29,144,107
sub-112,49,46,0.7931034482758621,0.8906117846067099,0.8027954256670902,0.9277533039647577,0.8563296286256438,8.06225774829855,3689.0,3405.0,8393.0,35,30,144,107
sub-112,50,47,0.8103448275862069,0.8686006825938567,0.7677224736048266,0.8238467763690316,0.9184962406015038,17.72004514666935,3325.0,3707.0,8132.0,37,30,144,106
sub-112,51,48,0.8275862068965517,0.8246192494897158,0.7015762757146674,0.7613801101768629,0.8993150684931507,16.76305461424021,2920.0,3449.0,7770.0,39,31,144,105
sub-112,52,49,0.8448275862068966,0.619689720168189,0.4489495798319328,0.481957600360848,0.8676410881039383,23.021728866442675,2463.0,4434.0,7519.0,41,31,144,104
sub-112,53,50,0.8620689655172413,0.4929230769230769,0.32707227439771336,0.33955065705807547,0.898989898989899,27.0,1782.0,4718.0,7038.0,42,33,144,102
sub-112,54,51,0.8793103448275862,0.33034188034188033,0.19785001279754288,0.2128890112916552,0.7368922783603432,30.805843601498726,1049.0,3631.0,6500.0,44,34,144,99
sub-112,55,52,0.896551724137931,0.19128641402423305,0.10575826681870011,0.1081002331002331,0.8299776286353467,33.24154027718932,447.0,3432.0,5529.0,47,36,144,93
sub-112,56,53,0.9137931034482759,0.02779064381658175,0.014091122592766557,0.014822134387351778,0.2222222222222222,42.42640687119285,135.0,2024.0,3627.0,51,47,144,86
sub-112,57,54,0.9310344827586207,0.9468085106382979,0.898989898989899,0.898989898989899,1.0,3.0,89.0,99.0,325.0,131,61,144,86
sub-112,58,55,0.9482758620689655,0.875,0.7777777777777778,0.7777777777777778,1.0,2.0,70.0,90.0,312.0,131,62,144,86
sub-112,59,56,0.9655172413793104,0.8403361344537815,0.7246376811594203,0.746268656716418,0.9615384615384616,2.23606797749979,52.0,67.0,252.0,132,65,144,86
sub-112,60,57,0.9827586206896551,0.6904761904761905,0.5272727272727272,0.5272727272727272,1.0,4.123105625617661,29.0,55.0,180.0,134,66,144,84
sub-112,61,58,1.0,0.10810810810810811,0.05714285714285714,0.05714285714285714,1.0,5.0,2.0,35.0,84.0,137,69,144,81
sub-109,6,0,0.0,0.36462093862815886,0.2229580573951435,0.2229580573951435,1.0,9.219544457292887,101.0,453.0,775.0,75,50,100,81
sub-109,7,1,0.01818181818181818,0.7139001349527665,0.5550891920251836,0.5725108225108225,0.9480286738351255,7.615773105863909,558.0,924.0,1638.0,66,45,105,87
sub-109,8,2,0.03636363636363636,0.7842679127725857,0.6450992953235106,0.6467565831727682,0.9960435212660732,10.198039027185569,1011.0,1557.0,2401.0,58,42,107,91
sub-109,9,3,0.05454545454545454,0.724679029957204,0.5682326621923938,0.5682326621923938,1.0,14.317821063276353,1524.0,2682.0,3888.0,55,40,127,94
sub-109,10,4,0.07272727272727272,0.856023102310231,0.7482870537324198,0.7529027576197388,0.9918738049713193,11.180339887498949,2092.0,2756.0,4466.0,53,38,130,96
sub-109,11,5,0.09090909090909091,0.8689377412317503,0.7682492581602374,0.7786466165413534,0.9829157175398633,17.72004514666935,2634.0,3325.0,5208.0,48,36,132,98
sub-109,12,6,0.10909090909090909,0.9034582132564841,0.823915900131406,0.840032154340836,0.9772443890274314,9.848857801796104,3208.0,3732.0,6080.0,39,35,134,99
sub-109,13,7,0.12727272727272726,0.9524057895423133,0.9091361712720936,0.9254941713127217,0.9809293580445877,6.708203932499369,3723.0,3946.0,6700.0,35,33,135,100
sub-109,14,8,0.14545454545454545,0.97348303870043,0.9483360484058646,0.9651823780198958,0.9819277108433735,5.0,4150.0,4222.0,7176.0,32,32,136,101
sub-109,15,9,0.16363636363636364,0.9835592090646523,0.9676502732240437,0.9853104829735143,0.9818141494788202,3.605551275463989,4509.0,4493.0,7597.0,30,31,137,102
sub-109,16,10,0.18181818181818182,0.9861415025528811,0.9726618705035971,0.9895441237975743,0.9827622014537902,3.1622776601683795,4815.0,4782.0,7957.0,29,30,138,103
sub-109,17,11,0.2,0.9847836897066137,0.9700235109717869,0.9965780998389694,0.973265185767643,2.0,5087.0,4968.0,8250.0,28,29,138,104
sub-109,18,12,0.21818181818181817,0.9855787476280835,0.9715675271230827,0.993876769996173,0.9774181407602559,3.1622776601683795,5314.0,5226.0,9240.0,18,28,138,105
sub-109,19,13,0.23636363636363636,0.9822969486700471,0.9652097902097903,0.9904915679942591,0.9742368095994354,2.8284271247461903,5667.0,5574.0,9984.0,11,27,139,105
sub-109,20,14,0.2545454545454545,0.9838600067957866,0.9682327370005016,0.9969013599586848,0.9711554586617475,2.23606797749979,5963.0,5809.0,10270.0,9,27,139,106
sub-109,21,15,0.2727272727272727,0.9813807876091614,0.9634422516984794,0.997153859032312,0.9660989456609894,2.23606797749979,6165.0,5973.0,10611.0,8,26,139,107
sub-109,22,16,0.2909090909090909,0.9816896884034694,0.9640378548895899,0.9980404964075767,0.965865992414665,2.23606797749979,6328.0,6124.0,10692.0,7,26,139,107
sub-109,23,17,0.3090909090909091,0.9835988385780429,0.9677269919703521,0.9966603053435115,0.970875290472502,2.0,6455.0,6288.0,11039.0,6,25,139,108
sub-109,24,18,0.32727272727272727,0.9823337982333799,0.9652809502055734,0.9982677165354331,0.9669005491153142,2.23606797749979,6556.0,6350.0,11122.0,5,25,139,108
sub-109,25,19,0.34545454545454546,0.9809260113828642,0.962566037735849,0.9989035087719298,0.9635841644001208,3.605551275463989,6618.0,6384.0,11122.0,5,25,139,108
sub-109,26,20,0.36363636363636365,0.9889343641048962,0.9781109445277362,0.9986223786927905,0.979432517639994,1.4142135623730951,6661.0,6533.0,11340.0,5,24,140,108
sub-109,27,21,0.38181818181818183,0.9865721182860592,0.9735000744379931,0.996039603960396,0.9772829173516664,10.0,6691.0,6565.0,11340.0,5,24,140,108
sub-109,28,22,0.4,0.9840670542928339,0.9686338635350081,0.9967875172097292,0.9716671637339696,5.0,6706.0,6537.0,11340.0,5,24,140,108
sub-109,29,23,0.41818181818181815,0.9753716774290434,0.9519273047046753,0.9828995157384988,0.9679582712369598,14.142135623730951,6710.0,6608.0,11340.0,5,24,140,108
sub-109,30,24,0.43636363636363634,0.9676012929414418,0.9372360565021115,0.9750037873049537,0.9603103551178752,18.027756377319946,6702.0,6601.0,11424.0,5,24,141,108
sub-109,31,25,0.45454545454545453,0.9663245914101102,0.9348433593175467,0.9863438857852266,0.9471017732081657,10.0,6711.0,6444.0,11340.0,6,24,141,108
sub-109,32,26,0.4727272727272727,0.9707673568818515,0.9431952662721893,0.9919103920348475,0.9505068574836016,9.848857801796104,6708.0,6428.0,11340.0,6,24,141,108
sub-109,33,27,0.4909090909090909,0.970436919296629,0.942571599045346,0.9955884669922798,0.9465248651887358,10.63014581273465,6676.0,6347.0,11340.0,7,24,142,108
sub-109,34,28,0.509090909090909,0.9702127659574468,0.9421487603305785,0.9979309247174917,0.9439927732610659,11.0,6642.0,6283.0,11340.0,8,24,143,108
sub-109,35,29,0.5272727272727272,0.9593446137355486,0.9218658034137728,0.9654800431499461,0.9532866707242849,19.4164878389476,6572.0,6489.0,11340.0,8,24,143,108
sub-109,36,30,0.5454545454545454,0.9719655199192359,0.9454600392808581,0.9805703541209652,0.9635103926096997,12.0,6495.0,6382.0,11070.0,9,25,144,107
sub-109,37,31,0.5636363636363636,0.9549366296354248,0.9137595448420422,0.9546378851869232,0.9552355611206762,14.0,6389.0,6393.0,10988.0,10,25,144,107
sub-109,38,32,0.5818181818181818,0.9548552642129741,0.9136105570047568,0.9603225806451613,0.9494498485090097,13.45362404707371,6271.0,6200.0,10906.0,11,25,144,107
sub-109,39,33,0.6,0.9478983136169141,0.9009569377990431,0.9707853583089878,0.9260655737704918,13.0,6100.0,5819.0,10611.0,13,25,144,106
sub-109,40,34,0.6181818181818182,0.952112676056338,0.9086021505376344,0.9665511265164645,0.9380992430613961,15.0,5945.0,5770.0,10449.0,15,25,144,106
sub-109,41,35,0.6363636363636364,0.9502148997134671,0.9051518253155919,0.9818652849740933,0.9205412907702984,13.0,5764.0,5404.0,10368.0,16,25,144,106
sub-109,42,36,0.6545454545454545,0.9454918797834609,0.8966188705965658,0.9848337546179273,0.9091725004487524,14.142135623730951,5571.0,5143.0,10206.0,18,25,144,106
sub-109,43,37,0.6727272727272727,0.936203218925732,0.8800583302952971,0.968311271560369,0.9061561561561562,16.278820596099706,5328.0,4986.0,9920.0,20,26,144,106
sub-109,44,38,0.6909090909090909,0.9499539453484802,0.9046783625730994,0.9805620114092541,0.9211988884477967,13.038404810405298,5038.0,4733.0,9360.0,27,26,144,106
sub-109,45,39,0.7090909090909091,0.9498938428874735,0.9045693489688638,0.9658894645941278,0.9344193817878028,13.416407864998739,4788.0,4632.0,9006.0,30,26,144,105
sub-109,46,40,0.7272727272727273,0.9459309426001998,0.8974088898251528,0.9538737124944021,0.9381193569698304,10.44030650891055,4541.0,4466.0,8769.0,33,26,144,105
sub-109,47,41,0.7454545454545455,0.9366205372717757,0.8807961504811899,0.9367294719702256,0.9365116279069767,8.06225774829855,4300.0,4299.0,8502.0,35,27,144,105
sub-109,48,42,0.7636363636363637,0.9217477166131819,0.8548534798534798,0.9192516001969473,0.9242574257425743,10.04987562112089,4040.0,4062.0,8316.0,36,27,144,104
sub-109,49,43,0.7818181818181819,0.9170744610501257,0.8468490473864192,0.9035704977847276,0.9309881847475833,10.04987562112089,3724.0,3837.0,7950.0,38,28,144,103
sub-109,50,44,0.8,0.8933081724488314,0.8071878279118573,0.8699462821600226,0.9179594272076372,9.848857801796104,3352.0,3537.0,7725.0,41,28,144,103
sub-109,51,45,0.8181818181818182,0.8645751221819329,0.761455151346848,0.8119632810186556,0.9244774106540796,10.0,2966.0,3377.0,7446.0,42,29,144,102
sub-109,52,46,0.8363636363636363,0.8065650644783119,0.6758349705304518,0.6971627099015634,0.956694477552642,15.524174696260024,2517.0,3454.0,7272.0,43,29,144,101
sub-109,53,47,0.8545454545454545,0.5886524822695035,0.41708542713567837,0.42094818081587654,0.9784725781650435,18.681541692269406,1951.0,4535.0,6900.0,44,31,144,100
sub-109,54,48,0.8727272727272727,0.3747548582635051,0.2305835892935498,0.23665841026795767,0.8998287671232876,25.0,1168.0,4441.0,6305.0,47,33,144,98
sub-109,55,49,0.8909090909090909,0.23976608187134502,0.1362126245847176,0.13910093299406276,0.8677248677248677,28.0178514522438,567.0,3537.0,5394.0,51,38,144,96
sub-109,56,50,0.9090909090909091,0.148479427549195,0.08019323671497584,0.08283433133732535,0.7155172413793104,34.66987164671943,232.0,2004.0,2886.0,66,54,144,91
sub-109,57,51,0.9272727272727272,0.9380530973451328,0.8833333333333333,0.8983050847457628,0.9814814814814815,2.0,108.0,118.0,468.0,126,56,144,82
sub-109,58,52,0.9454545454545454,0.9508196721311475,0.90625,0.9508196721311475,0.9508196721311475,1.0,61.0,61.0,264.0,133,58,144,82
sub-109,59,53,0.9636363636363636,0.8974358974358975,0.813953488372093,0.813953488372093,1.0,2.0,35.0,43.0,200.0,134,61,144,81
sub-109,60,54,0.9818181818181818,0.5909090909090909,0.41935483870967744,0.41935483870967744,1.0,2.23606797749979,13.0,31.0,120.0,136,64,144,79
sub-109,61,55,1.0,0.21052631578947367,0.11764705882352941,0.11764705882352941,1.0,3.1622776601683795,2.0,17.0,84.0,137,65,144,77
sub-066,6,0,0.0,0.3836589698046181,0.23736263736263735,0.23736263736263735,1.0,14.422205101855956,324.0,1365.0,2106.0,74,49,128,88
sub-066,7,1,0.018867924528301886,0.6109238031018206,0.43980582524271844,0.46845915201654603,0.877906976744186,14.035668847618199,1032.0,1934.0,3024.0,69,45,132,93
sub-066,8,2,0.03773584905660377,0.8364963503649635,0.7189460476787954,0.7195479280033487,0.9988378849506101,11.0,1721.0,2389.0,3763.0,63,43,134,96
sub-066,9,3,0.05660377358490566,0.9141900376726664,0.8419429452582884,0.8494749124854143,0.9895786135024921,7.810249675906654,2207.0,2571.0,4408.0,59,41,135,99
sub-066,10,4,0.07547169811320754,0.9206632198252808,0.8529897588371325,0.8797274275979557,0.9655946148092744,8.94427190999916,2674.0,2935.0,5022.0,55,39,136,101
sub-066,11,5,0.09433962264150944,0.9602172871065665,0.923478795328826,0.9473518284993695,0.9734369938451571,5.830951894845301,3087.0,3172.0,5590.0,51,37,137,102
sub-066,12,6,0.11320754716981132,0.9453939141308879,0.8964426877470356,0.9227013832384052,0.9692307692307692,7.211102550927978,3510.0,3687.0,6188.0,47,36,138,104
sub-066,13,7,0.1320754716981132,0.96552621308703,0.9333501006036218,0.9807082452431289,0.9508070714834742,6.708203932499369,3903.0,3784.0,6790.0,42,35,139,105
sub-066,14,8,0.1509433962264151,0.952926354369488,0.9100853204987968,0.9523809523809523,0.9534723813889525,8.54400374531753,4363.0,4368.0,7560.0,34,34,139,106
sub-066,15,9,0.16981132075471697,0.969677625279285,0.9411400247831475,0.9865771812080537,0.953347280334728,5.0,4780.0,4619.0,8066.0,30,33,139,107
sub-066,16,10,0.18867924528301888,0.9754926477943383,0.952157781683265,0.9963220269718022,0.9555163629237703,4.47213595499958,5103.0,4894.0,8325.0,29,33,140,108
sub-066,17,11,0.20754716981132076,0.9786628733997155,0.958217270194986,0.999418942475305,0.9587513935340022,3.605551275463989,5382.0,5163.0,8701.0,27,32,140,109
sub-066,18,12,0.22641509433962265,0.980605401486315,0.9619487908961594,0.9998151912770282,0.9621198648408323,3.1622776601683795,5623.0,5411.0,9006.0,26,31,140,110
sub-066,19,13,0.24528301886792453,0.9832255809889918,0.9670046399725039,0.9992896465991831,0.9676698194325022,2.0,5815.0,5631.0,9164.0,25,31,141,110
sub-066,20,14,0.2641509433962264,0.9809002944888515,0.9625165125495376,0.9942009210301893,0.9679508468947193,3.0,6022.0,5863.0,9882.0,19,30,141,111
sub-066,21,15,0.2830188679245283,0.9769704832954914,0.9549778059606848,0.9878648737290915,0.9663137632338787,5.385164807134504,6234.0,6098.0,10496.0,13,29,141,111
sub-066,22,16,0.3018867924528302,0.9762470308788599,0.9535962877030162,0.9988658457550227,0.954629916382781,6.0,6458.0,6172.0,10790.0,11,29,141,112
sub-066,23,17,0.32075471698113206,0.9751359751359752,0.9514783927217589,0.9992038216560509,0.9522003034901366,9.055385138137417,6590.0,6280.0,10873.0,10,29,141,112
sub-066,24,18,0.33962264150943394,0.9726918075422627,0.9468354430379747,0.9995283760415029,0.9472586412395709,11.0,6712.0,6361.0,11220.0,9,28,141,113
sub-066,25,19,0.3584905660377358,0.9715450222658314,0.9446646117716131,0.9995340891442771,0.9450807635829662,11.045361017187261,6810.0,6439.0,11305.0,9,28,142,113
sub-066,26,20,0.37735849056603776,0.9716847217033994,0.9449287997675094,0.9996925441967717,0.945203488372093,11.0,6880.0,6505.0,11305.0,9,28,142,113
sub-066,27,21,0.39622641509433965,0.9692444181576224,0.9403242002582126,0.9995425434583715,0.9407290470723306,11.045361017187261,6968.0,6558.0,11745.0,8,27,143,114
sub-066,28,22,0.41509433962264153,0.9676659055756058,0.937357305936073,0.9998477929984779,0.9374910803482233,9.899494936611665,7007.0,6570.0,11745.0,8,27,143,114
